ID,Module,Sous-Module,Tâche,Type,Composant,Fichier,Dépendances,Durée (h),Priorité,Statut,Notes
1,QR Code & Présences,1. Base de Données,Modifier Student.entity.ts - Ajouter champs QR,Backend,Entity,backend/src/entities/Student.entity.ts,Aucune,0.5,HAUTE,✅ TERMINÉ,"Ajouter: badgeQrCode, badgeExpiry, isActive, emergencyContact, schoolLevel"
2,QR Code & Présences,1. Base de Données,Modifier Session.entity.ts - Ajouter champs QR,Backend,Entity,backend/src/entities/Session.entity.ts,Aucune,0.5,HAUTE,✅ TERMINÉ,"Ajouter: sessionQrCode, qrExpiresAt, currentAttendance, isActive"
3,QR Code & Présences,1. Base de Données,Créer Attendance.entity.ts,Backend,Entity,backend/src/entities/Attendance.entity.ts,Tâche 1-2,1,HAUTE,✅ TERMINÉ,"Enums: ScanMethod, AttendanceStatus. Relations: Student, Session, User"
4,QR Code & Présences,1. Base de Données,Créer AttendanceReport.entity.ts,Backend,Entity,backend/src/entities/AttendanceReport.entity.ts,Tâche 3,0.5,MOYENNE,✅ TERMINÉ,"Stats mensuelles: totalSessions, presentCount, absentCount, lateCount, attendanceRate"
5,QR Code & Présences,1. Base de Données,Migration: add_qr_fields_to_students.sql,Backend,Migration,backend/migrations/add_qr_fields_to_students.sql,Tâche 1,0.5,HAUTE,✅ TERMINÉ,ALTER TABLE students + UPDATE existants
6,QR Code & Présences,1. Base de Données,Migration: add_qr_fields_to_sessions.sql,Backend,Migration,backend/migrations/add_qr_fields_to_sessions.sql,Tâche 2,0.5,HAUTE,✅ TERMINÉ,ALTER TABLE sessions
7,QR Code & Présences,1. Base de Données,Migration: create_attendances_table.sql,Backend,Migration,backend/migrations/create_attendances_table.sql,Tâche 3,0.5,HAUTE,✅ TERMINÉ,CREATE TABLE + index performances
8,QR Code & Présences,1. Base de Données,Migration: create_attendance_reports_table.sql,Backend,Migration,backend/migrations/create_attendance_reports_table.sql,Tâche 4,0.5,MOYENNE,✅ TERMINÉ,CREATE TABLE + contrainte unique (student-course-month-year)
9,QR Code & Présences,1. Base de Données,Exécuter toutes les migrations,Backend,Database,PostgreSQL,Tâche 5-8,0.5,HAUTE,✅ TERMINÉ,Vérifier pas d'erreurs. Backup BD avant
10,QR Code & Présences,1. Base de Données,Mettre à jour database.config.ts,Backend,Config,backend/src/config/database.config.ts,Tâche 3-4,0.25,HAUTE,✅ TERMINÉ,Ajouter nouvelles entités dans entities array
